Flight,Price,Currency,Stop,Duration,Date
ATH,"45,606",AMD,1 stop,12h 35m,2025-02-01
MAD,"43,662",AMD,1 stop,15h 40m,2025-02-01
NCE,"168,587",AMD,1 stop,20h 55m,2025-02-01
BCN,"69,638",AMD,1 stop,14h 20m,2025-02-01
TBS,"61,723",AMD,1 stop,20h 45m,2025-02-01
SSH,"68,006",AMD,1 stop,20h 55m,2025-02-01
NCE,"155,515",AMD,1 stop,13h 45m,2025-02-01
BEG,"58,218",AMD,1 stop,13h 25m,2025-02-01
AUH,"85,786",AMD,1 stop,7h 10m,2025-02-01
ATH,"43,010",AMD,1 stop,10h 50m,2025-02-01
VIE,"37,634",AMD,1 stop,12h 50m,2025-02-01
VIE,"75,667",AMD,1 stop,27h 30m,2025-02-01
SOF,"45,698",AMD,1 stop,11h 10m,2025-02-01
CRL,"46,009",AMD,1 stop,9h 25m,2025-02-01
BCN,"41,474",AMD,1 stop,12h,2025-02-01
PRG,"38,283",AMD,1 stop,8h 40m,2025-02-01
TLV,"177,182",AMD,1 stop,14h 50m,2025-02-01
VIE,"64,590",AMD,1 stop,15h 30m,2025-02-01
BER,"39,542",AMD,1 stop,9h 35m,2025-02-01
TLV,"140,477",AMD,1 stop,10h 35m,2025-02-01
TLV,"195,088",AMD,1 stop,11h,2025-02-01
PRG,"39,713",AMD,1 stop,10h 35m,2025-02-01
MAD,"51,462",AMD,1 stop,8h 55m,2025-02-01
AMS,"88,696",AMD,1 stop,9h 05m,2025-02-01
AMS,"39,926",AMD,1 stop,9h 40m,2025-02-01
FRA,"132,939",AMD,1 stop,18h 25m,2025-02-01
HHN,"38,022",AMD,1 stop,10h 20m,2025-02-01
AUH,"23,798",AMD,Direct,3h 10m,2025-02-01
HHN,"31,086",AMD,1 stop,26h 35m,2025-02-01
FRA,"144,006",AMD,1 stop,9h 15m,2025-02-01
ATH,"41,846",AMD,1 stop,6h 25m,2025-02-01
TLV,"49,726",AMD,1 stop,33h 30m,2025-02-01
TLV,"79,096",AMD,1 stop,9h 15m,2025-02-01
AMS,"39,926",AMD,1 stop,13h 35m,2025-02-01
ATH,"51,458",AMD,1 stop,8h 50m,2025-02-01
BCN,"31,847",AMD,1 stop,17h 05m,2025-02-01
LCA,"242,545",AMD,1 stop,12h 50m,2025-02-01
BUD,"33,271",AMD,1 stop,14h 40m,2025-02-01
BKK,"145,147",AMD,1 stop,17h 35m,2025-02-01
CRL,"31,086",AMD,1 stop ∙ Change airport,12h 50m,2025-02-01
TLV,"75,579",AMD,1 stop,20h 30m,2025-02-01
PRG,"31,086",AMD,1 stop ∙ Change airport,14h 20m,2025-02-01
DXB,"111,674",AMD,1 stop,5h 40m,2025-02-01
MAD,"54,519",AMD,1 stop,9h 45m,2025-02-01
BCN,"41,858",AMD,1 stop,19h 25m,2025-02-01
TLV,"118,650",AMD,1 stop,12h 55m,2025-02-01
BCN,"65,840",AMD,1 stop,13h 30m,2025-02-01
TLV,"95,236",AMD,1 stop,21h 55m,2025-02-01
DUS,"39,542",AMD,1 stop,7h 30m,2025-02-01
TLV,"233,873",AMD,1 stop,20h 20m,2025-02-01
LCA,"74,269",AMD,1 stop,22h,2025-02-01
TGD,"60,574",AMD,1 stop,22h 20m,2025-02-01
VIE,"152,674",AMD,1 stop,30h 15m,2025-02-01
DXB,"73,008",AMD,Direct,3h 10m,2025-02-01
ATH,"39,938",AMD,1 stop,14h 05m,2025-02-01
FRA,"75,517",AMD,1 stop,9h 05m,2025-02-01
TGD,"93,239",AMD,1 stop,20h 45m,2025-02-01
BER,"49,911",AMD,1 stop,8h 25m,2025-02-01
VIE,"141,054",AMD,1 stop,30h 45m,2025-02-01
SSH,"105,677",AMD,1 stop,15h 35m,2025-02-01
AMS,"195,618",AMD,1 stop,20h 25m,2025-02-01
FRA,"39,542",AMD,1 stop,9h 25m,2025-02-01
DUS,"56,451",AMD,1 stop,14h 35m,2025-02-01
TLV,"72,579",AMD,1 stop,25h 05m,2025-02-01
LCA,"90,572",AMD,1 stop,16h 45m,2025-02-01
SOF,"11,751",AMD,Direct,2h 55m,2025-02-01
ATH,"51,458",AMD,1 stop,12h 05m,2025-02-01
FRA,"127,878",AMD,1 stop,7h 40m,2025-02-01
VIE,"40,548",AMD,1 stop,13h 45m,2025-02-01
TBS,"25,695",AMD,Direct,35m,2025-02-01
DTM,"33,398",AMD,1 stop,12h 15m,2025-02-01
VLC,"42,559",AMD,1 stop ∙ Change airport,15h 35m,2025-02-01
TLV,"349,060",AMD,1 stop,12h 30m,2025-02-01
BCN,"278,220",AMD,1 stop,31h 20m,2025-02-01
BUS,"39,542",AMD,1 stop,11h 20m,2025-02-01
LCA,"197,769",AMD,1 stop,10h 40m,2025-02-01
DXB,"130,786",AMD,1 stop,8h 15m,2025-02-01
AUH,"53,600",AMD,1 stop,23h,2025-02-01
TLV,"99,023",AMD,1 stop,28h 10m,2025-02-01
TLV,"170,515",AMD,1 stop,20h 55m,2025-02-01
AMS,"69,969",AMD,1 stop,12h 05m,2025-02-01
FRA,"75,919",AMD,1 stop,9h 25m,2025-02-01
BCN,"28,750",AMD,1 stop,7h 50m,2025-02-01
SSH,"111,365",AMD,Direct,3h 30m,2025-02-01
VIE,"104,057",AMD,1 stop,9h 45m,2025-02-01
VIE,"55,586",AMD,1 stop,15h 50m,2025-02-01
VLC,"41,052",AMD,1 stop,15h,2025-02-01
ATH,"65,667",AMD,1 stop,6h 50m,2025-02-01
ATH,"193,890",AMD,1 stop,17h 05m,2025-02-01
TLV,"62,338",AMD,1 stop,27h 40m,2025-02-01
VIE,"51,831",AMD,1 stop,7h 40m,2025-02-01
VIE,"151,055",AMD,1 stop,19h 25m,2025-02-01
BEG,"48,151",AMD,1 stop,19h 15m,2025-02-01
ATH,"39,938",AMD,1 stop,22h 40m,2025-02-01
BCN,"39,554",AMD,1 stop,14h 15m,2025-02-01
BRU,"41,127",AMD,1 stop,10h 10m,2025-02-01
VIE,"63,456",AMD,1 stop,16h 15m,2025-02-01
BCN,"40,322",AMD,1 stop,15h 10m,2025-02-01
TLV,"92,082",AMD,1 stop,14h 45m,2025-02-01
SOF,"58,218",AMD,1 stop,9h 10m,2025-02-01
LYS,"110,002",AMD,1 stop,13h,2025-02-01
VCE,"83,704",AMD,1 stop,7h 30m,2025-02-01
BER,"57,161",AMD,1 stop,6h 05m,2025-02-01
RMO,"56,734",AMD,1 stop,21h 45m,2025-02-01
FRA,"144,006",AMD,1 stop,10h 05m,2025-02-01
FRA,"63,774",AMD,1 stop,10h,2025-02-01
SAW,"68,445",AMD,1 stop,7h 35m,2025-02-01
MAD,"46,627",AMD,1 stop,10h 40m,2025-02-01
ATH,"41,624",AMD,1 stop ∙ Change airport,26h 50m,2025-02-01
SAW,"63,914",AMD,1 stop,7h 40m,2025-02-01
FRA,"55,841",AMD,1 stop,18h 10m,2025-02-01
ATH,"191,625",AMD,1 stop,11h,2025-02-01
ATH,"79,545",AMD,1 stop,16h 25m,2025-02-01
TLV,"40,983",AMD,1 stop,28h 10m,2025-02-01
VIE,"216,394",AMD,1 stop,31h 10m,2025-02-01
BKK,"287,424",AMD,1 stop,14h 20m,2025-02-01
DTM,"30,229",AMD,Direct,5h 05m,2025-02-01
VIE,"54,135",AMD,Direct,3h 45m,2025-02-01
AMS,"442,349",AMD,1 stop,22h 15m,2025-02-01
VIE,"213,130",AMD,1 stop,13h 25m,2025-02-01
TLV,"73,735",AMD,1 stop,17h 50m,2025-02-01
BCN,"172,207",AMD,1 stop,10h 25m,2025-02-01
AMS,"47,966",AMD,1 stop,11h 30m,2025-02-01
ATH,"62,979",AMD,1 stop,14h 05m,2025-02-01
FRA,"144,006",AMD,1 stop,17h 15m,2025-02-01
TLV,"141,383",AMD,1 stop,27h 15m,2025-02-01
HHN,"28,210",AMD,1 stop,23h 25m,2025-02-01
SSH,"111,882",AMD,1 stop,20h 25m,2025-02-01
BCN,"62,583",AMD,1 stop,10h 40m,2025-02-01
VIE,"134,281",AMD,1 stop,29h 05m,2025-02-01
BCN,"50,109",AMD,1 stop,23h 40m,2025-02-01
SSH,"77,947",AMD,1 stop,20h 05m,2025-02-01
FRA,"148,645",AMD,1 stop,14h 15m,2025-02-01
VIE,"74,684",AMD,1 stop,14h 15m,2025-02-01
VIE,"75,667",AMD,1 stop,25h 25m,2025-02-01
WMI,"41,619",AMD,1 stop ∙ Change airport,18h 10m,2025-02-01
AMS,"94,841",AMD,1 stop,6h 25m,2025-02-01
LCA,"116,903",AMD,1 stop,16h 20m,2025-02-01
BCN,"36,307",AMD,1 stop,7h 30m,2025-02-01
VIE,"23,809",AMD,1 stop,14h 15m,2025-02-01
VIE,"227,288",AMD,1 stop,16h,2025-02-01
TLV,"100,425",AMD,1 stop,16h 55m,2025-02-01
AMS,"94,841",AMD,1 stop,8h 50m,2025-02-01
LCA,"53,751",AMD,1 stop,8h 45m,2025-02-01
FRA,"165,742",AMD,1 stop,6h 45m,2025-02-01
VIE,"114,444",AMD,1 stop,16h 30m,2025-02-01
WAW,"35,405",AMD,1 stop,14h 25m,2025-02-01
SAW,"29,942",AMD,Direct,2h 30m,2025-02-01
RMO,"58,775",AMD,1 stop,8h,2025-02-01
BER,"53,023",AMD,1 stop,7h 25m,2025-02-01
DUS,"47,223",AMD,1 stop,10h 15m,2025-02-01
TLV,"95,236",AMD,1 stop,13h 20m,2025-02-01
AMS,"218,122",AMD,1 stop,21h,2025-02-01
NCE,"124,096",AMD,1 stop,11h 35m,2025-02-01
BCN,"141,318",AMD,1 stop,20h 25m,2025-02-01
FRA,"67,057",AMD,1 stop ∙ Change airport,11h 10m,2025-02-01
LCA,"177,052",AMD,1 stop,11h 25m,2025-02-01
ATH,"55,398",AMD,1 stop,9h 10m,2025-02-01
ATH,"65,175",AMD,1 stop,8h 30m,2025-02-01
ATH,"43,784",AMD,1 stop ∙ Change airport,12h 40m,2025-02-01
ATH,"102,892",AMD,1 stop,13h 15m,2025-02-01
ATH,"111,672",AMD,1 stop,8h 55m,2025-02-01
TLV,"79,267",AMD,1 stop,26h 10m,2025-02-01
BCN,"30,644",AMD,1 stop,8h 55m,2025-02-01
FRA,"41,846",AMD,1 stop,8h 05m,2025-02-01
LCA,"16,596",AMD,Direct,2h 20m,2025-02-01
WMI,"36,944",AMD,1 stop ∙ Change airport,12h 50m,2025-02-01
TLV,"44,918",AMD,1 stop,8h 10m,2025-02-01
AUH,"53,600",AMD,1 stop,14h 25m,2025-02-01
AMS,"41,090",AMD,1 stop,16h 20m,2025-02-01
VIE,"31,086",AMD,1 stop ∙ Change airport,24h 15m,2025-02-01
BKK,"196,605",AMD,1 stop,25h 30m,2025-02-01
FRA,"132,939",AMD,1 stop,16h 25m,2025-02-01
NCE,"435,821",AMD,1 stop,27h,2025-02-01
TLV,"79,146",AMD,1 stop,23h 10m,2025-02-01
ATH,"41,463",AMD,1 stop,13h 10m,2025-02-01
VIE,"66,690",AMD,1 stop,14h 30m,2025-02-01
ATH,"85,666",AMD,1 stop,21h 05m,2025-02-01
RMO,"31,244",AMD,1 stop,15h 50m,2025-02-01
FRA,"132,939",AMD,1 stop,25h 30m,2025-02-01
